,model,hyp_mq_4_calm_sleep,train_score_mq_4_calm_sleep,test_score_mq_4_calm_sleep,hyp_mq_5_superficial_sleep,train_score_mq_5_superficial_sleep,test_score_mq_5_superficial_sleep,hyp_mq_6_recovery,train_score_mq_6_recovery,test_score_mq_6_recovery,hyp_mq_7_bad_mood,train_score_mq_7_bad_mood,test_score_mq_7_bad_mood,hyp_mq_8_energy,train_score_mq_8_energy,test_score_mq_8_energy,hyp_mq_9_tense,train_score_mq_9_tense,test_score_mq_9_tense,hyp_mq_10_unconcentrated,train_score_mq_10_unconcentrated,test_score_mq_10_unconcentrated
0,LogisticRegression__penalty=None,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.21361438481003697,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2343817960953511,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.22960009796966316,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.21322612551445505,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.25463192604496954,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.273216011042098,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.21596465129073822
1,LogisticRegression__penalty=l1,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.23999690876121083,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.2195719900067726,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.24322271930967582,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.22409555917228552,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2354294696494185,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.33600036153105206,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.31098290598290595
2,LogisticRegression__penalty=l2,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.20068771807902244,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.2689531965618922,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2167690883995232,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.21968442895552873,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.23905923786358568,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2493401057595431,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.22504909341865864
3,LogisticRegression__penalty=elasticnet,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.9913836917123587,0.21420719377241113,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.23631237120367557,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.9956805512124628,0.22855830160177987,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.2500014841352841,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.24871785219611303,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.9978260869565216,0.2975246492637797,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",1.0,0.3148326793978968
4,KNeighborsClassifier,[OrderedDict({'model__n_neighbors': 14})],0.3322670684176906,0.2408001660175573,[OrderedDict({'model__n_neighbors': 14})],0.3402432523181443,0.24556236828884556,[OrderedDict({'model__n_neighbors': 14})],0.36709721711248805,0.2672511112561927,[OrderedDict({'model__n_neighbors': 27})],0.3263881146362831,0.25754734354434505,[OrderedDict({'model__n_neighbors': 14})],0.4192726594470771,0.26807009161700235,[OrderedDict({'model__n_neighbors': 27})],0.3809534577579223,0.29949247122958256,[OrderedDict({'model__n_neighbors': 27})],0.3204337168718661,0.2560988877636475
5,DecisionTreeClassifier,[OrderedDict({'model__max_depth': 6})],0.8686082669344348,0.3212673600908895,[OrderedDict({'model__max_depth': 6})],0.9463100005908244,0.2851962870888702,[OrderedDict({'model__max_depth': 11})],1.0,0.2688509316770186,[OrderedDict({'model__max_depth': 6})],0.8824856435025547,0.2790806862929625,[OrderedDict({'model__max_depth': 11})],1.0,0.2673654847567891,[OrderedDict({'model__max_depth': 11})],0.9978229916840344,0.2350685759253534,[OrderedDict({'model__max_depth': 6})],0.8857282189420728,0.30798971323268
6,RandomForestClassifier,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.19252841361537013,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.32326385038661254,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.2649924210935114,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.29211816350293934,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.38158621713608926,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.26947448686579123,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.2564120124054166
7,AdaBoostClassifier,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.7129182158832743,0.22360689855305554,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.8439609478659117,0.33506246772551124,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.6859064935072022,0.2481761503628511,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.6482558817853918,0.31996662274923143,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.7281458654444777,0.2865795628071843,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.8839946856850946,0.31124580733276386,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.8414114029214952,0.24968851878139509
8,SVC,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.4539860679823752,0.20318601688166904,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.21545187974855495,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.27771221532091095,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.2443427388184421,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.2921188955971565,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.5655903488114282,0.2694532172856981,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.394773265257836,0.19203570181831053
9,LinearSVC,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.22289300071908763,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.21935400951705297,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.25686167093775786,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.21339991068891323,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.26100407442798745,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.3159636244762103,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.25884803602194906
